"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","0","src","max_test","TestClass","","","test_07",""
"passed","Wed Jun 28 16:30:04 CST 2023","Wed Jun 28 16:30:04 CST 2023","0","src","max_test","TestClass","","","test_fixture[用户操作]",""
"passed","Wed Jun 28 16:12:18 CST 2023","Wed Jun 28 16:12:18 CST 2023","0","src","max_test","TestClass","","","test_fixture",""
"passed","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","0","src","max_test","TestClass","","","test_03",""
"passed","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","0","src","max_test","TestClass","","","test_04",""
"passed","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","0","src","max_test","TestClass","","","test_fixture[01]",""
"passed","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","0","src","max_test","TestClass","","","test_fixture[02]",""
"skipped","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","0","src","max_test","TestClass","","","test_min",""
"passed","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","1","src","max_test","TestClass","","","test_05",""
"failed","Wed Jun 28 15:58:57 CST 2023","Wed Jun 28 15:58:57 CST 2023","1","src","max_test","","","","test_max",""
"skipped","Wed Jun 28 15:58:57 CST 2023","Wed Jun 28 15:58:57 CST 2023","0","src","max_test","","","","test_min",""
"failed","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","1","src","max_test","TestClass","","","test_max",""
"passed","Wed Jun 28 16:30:04 CST 2023","Wed Jun 28 16:30:04 CST 2023","0","src","max_test","TestClass","","","test_fixture[用户名称]",""
"skipped","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","0","src","max_test","TestClass","","","test_02",""
"passed","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","0","src","max_test","TestClass","","","test_01",""
"passed","Wed Jun 28 16:36:18 CST 2023","Wed Jun 28 16:36:18 CST 2023","0","src","max_test","TestClass","","","test_06",""
